sample_index,sample_id,component_id,rgb_weight,thermal_weight,event_weight,seed
0,frame_00192,v40c_00124,0.7965265512466431,0.04350804165005684,0.15996544063091278,0
1,frame_00193,v40c_00125,0.8171105980873108,0.03272920846939087,0.15016016364097595,0
2,frame_00194,v40c_00126,0.8446930646896362,0.019348274916410446,0.13595861196517944,0
3,frame_00195,v40c_00127,0.8294360041618347,0.026696855202317238,0.14386717975139618,0
4,frame_00196,v40c_00128,0.8315449357032776,0.025376232340931892,0.14307881891727448,0
5,frame_00197,v40c_00128,0.8113763332366943,0.035309843719005585,0.15331386029720306,0
6,frame_00198,v40c_00129,0.740516185760498,0.07642841339111328,0.18305544555187225,0
7,frame_00199,v40c_00130,0.7292790412902832,0.08364373445510864,0.18707722425460815,0
8,frame_00200,v40c_00131,0.8410695195198059,0.02103603258728981,0.1378944218158722,0
9,frame_00201,v40c_00132,0.705558717250824,0.09954541176557541,0.1948959231376648,0
10,frame_00202,v40c_00133,0.7929322123527527,0.045288827270269394,0.16177898645401,0
11,frame_00203,v40c_00134,0.8116796612739563,0.03495647385716438,0.15336377918720245,0
12,frame_00204,v40c_00135,0.7873993515968323,0.04837462678551674,0.1642259657382965,0
13,frame_00205,v40c_00136,0.8225460052490234,0.029761044308543205,0.14769300818443298,0
14,frame_00206,v40c_00137,0.8123046159744263,0.034994591027498245,0.15270079672336578,0
15,frame_00207,v40c_00138,0.664024829864502,0.12932170927524567,0.2066534012556076,0
16,frame_00208,v40c_00139,0.7357580065727234,0.07962661236524582,0.1846153885126114,0
17,frame_00209,v40c_00140,0.7956832051277161,0.04368196800351143,0.1606348305940628,0
18,frame_00210,v40c_00140,0.6370437741279602,0.15025867521762848,0.21269749104976654,0
19,frame_00211,v40c_00141,0.8179909586906433,0.031872380524873734,0.15013660490512848,0
20,frame_00212,v40c_00142,0.8000190854072571,0.041152555495500565,0.15882828831672668,0
21,frame_00213,v40c_00143,0.7926220297813416,0.04554596543312073,0.16183196008205414,0
22,frame_00214,v40c_00144,0.8085331320762634,0.03666302189230919,0.15480388700962067,0
23,frame_00215,v40c_00145,0.7729625105857849,0.05663539469242096,0.17040207982063293,0
24,frame_00216,v40c_00146,0.8201265931129456,0.03064124286174774,0.1492321491241455,0
25,frame_00217,v40c_00145,0.8070780634880066,0.03746635466814041,0.1554556041955948,0
26,frame_00218,v40c_00147,0.7864283919334412,0.04858474060893059,0.16498684883117676,0
27,frame_00219,v40c_00148,0.8007860779762268,0.04066555202007294,0.15854838490486145,0
28,frame_00220,v40c_00149,0.7731679081916809,0.056033339351415634,0.17079870402812958,0
29,frame_00221,v40c_00150,0.660107433795929,0.132226824760437,0.20766575634479523,0
30,frame_00222,v40c_00151,0.6339989304542542,0.15196330845355988,0.2140377163887024,0
31,frame_00223,v40c_00152,0.7807726263999939,0.05183987691998482,0.1673874855041504,0
32,frame_00224,v40c_00153,0.7953826189041138,0.04375111311674118,0.16086620092391968,0
33,frame_00225,v40c_00154,0.7923360466957092,0.04538215324282646,0.1622818559408188,0
34,frame_00226,v40c_00155,0.7590274810791016,0.06438395380973816,0.1765885204076767,0
35,frame_00227,v40c_00156,0.698354959487915,0.1042226180434227,0.19742251932621002,0
36,frame_00228,v40c_00157,0.7757916450500488,0.05406763032078743,0.17014078795909882,0
37,frame_00229,v40c_00157,0.6984040141105652,0.10330329090356827,0.19829268753528595,0
38,frame_00230,v40c_00157,0.7125712633132935,0.09376046806573868,0.19366824626922607,0
39,frame_00231,v40c_00157,0.8042847514152527,0.037997085601091385,0.15771809220314026,0
